sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_00FD2KMP	0.32668823717695894	0.6391164646277	0.43101160556750906	0.5728333637882079	0.5791905798763893	0.667408283407693
BS_056Q8577	0.4728175557184411	0.6180545047731448	0.3499781457752512	0.36383458254890966	0.6321706234807405	0.5383503297733243
BS_0D5XCM8E	0.3791292404409978	0.6348377516548842	0.508765729005446	0.5692101014501739	0.2680556592178097	0.48196761738207655
BS_0Q71ZPDX	0.4920105778277051	0.7088947070127167	0.4833394757401475	0.3937730358605667	0.4176784846731893	0.46002582057084734
BS_0S8E7590	0.7809715727303462	0.7967161681260433	0.6292852726908055	0.6141057861344956	0.48459336868102637	0.6252427238123991
BS_17ZSMXFH	0.7532029158270876	0.26969977721220345	0.6746836705009349	0.5994618230188734	0.43514457589140626	0.48888498203388875
BS_1DNQ1R02	0.5718745525242105	0.7283793455580151	0.46827690885583223	0.6230607104490095	0.532374014730443	0.3378938929358245
BS_22B80N9T	0.45952491604922097	0.26337470635350335	0.36928994293368356	0.5087266047195695	0.7074068227408774	0.49509569805763765
BS_2720P44V	0.4918981114264643	0.2765499348212178	0.5930122739341607	0.3658716676518257	0.2276769097047648	0.5143919975184434
BS_2853394H	0.3085519779539914	0.6502593251565033	0.4018103742154127	0.4752436155252819	0.5723470032371573	0.43526714734433203
BS_29YQ60CP	0.29720131002911365	0.559167581764705	0.4455185216040253	0.3315217189847566	0.3330396055884879	0.5252389321763564
BS_2ARXK0TD	0.6404418015985237	0.5606077245347756	0.49041903416123356	0.24001888740968091	0.5589580363272169	0.33653523134340757
BS_2FVW6473	0.5698203709713555	0.6001829470085156	0.5747695684983996	0.4640264706434944	0.47658038656498236	0.27710160911732123
BS_2K01T8K6	0.5310428195981324	0.8552935523025542	0.4727584905753198	0.4182395709899457	0.42298773396710987	0.48013877841347347
BS_30F3Z9FS	0.44404301881778313	0.8232195429556565	0.5048924802508725	0.453714638074433	0.5253354224464253	0.4243719545769247
BS_30YWQ3FY	0.5979352781260581	0.5933962472849335	0.47090047885166436	0.6183024307856032	0.492292234440951	0.49196542105941393
BS_31MBRWC4	0.7467069520712855	0.22937033621650058	0.529299443587279	0.4793316142826143	0.5741884172086618	0.5093847939249417
BS_333KCNDP	0.5131458572882938	0.6448017303800164	0.5836410195255956	0.5868054402341136	0.39574415607964114	0.49203152037470915
BS_39ZZQVFE	0.5206169184453735	0.608235092748812	0.44476631066386907	0.40756668927410883	0.5131787619494992	0.663787306326447
BS_3GDARCHK	0.822162475221147	0.26949913825291794	0.5403865982519184	0.6148861362122957	0.6190760667746666	0.5150288606595209
BS_3N2YFZFB	0.4050783805262667	0.7811932831301219	0.45935426494965126	0.2134638162895836	0.5276698020133437	0.4408498611969966
BS_3ZPJAK9A	0.3310426629498792	0.6605232099687555	0.4311745484428311	0.7053656664015268	0.6220766919466348	0.5073242330463869
BS_4BGSTBN0	0.6186721150721591	0.07835255736025325	0.4317963730063079	0.5223514486891018	0.5804406376529694	0.5428396879575207
BS_4GNN7J8E	0.33903193160106887	0.26745481751085454	0.6375374463536658	0.6487960520550504	0.3151739425855148	0.5653894605396765
