sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_014EVM2D	0.4780519821402259	0.35086194785813324	0.6348713059129536	0.6789137458362637	0.4985544572976028	0.5020914695866954
BS_02NZT8CE	0.5395414395762205	0.3237899478393887	0.5444703231868909	0.3601311413078248	0.42953089011024115	0.5397196753752614
BS_02X4QTNE	0.5977523807532769	0.4578371096667314	0.3363557780638418	0.5170314761219881	0.49973062168894916	0.5639644603939165
BS_03FT4S8B	0.5505392480087127	0.5309290086987288	0.543663822603862	0.4006959581375156	0.3146007417035563	0.6834723499987478
BS_0448A413	0.5220434156298486	0.07695814191883722	0.4115210636316378	0.586307237294505	0.6503974837076023	0.5013920958865671
BS_044XZ8ST	0.4163534621724842	0.20955820707274092	0.6298098045025501	0.40124163596025364	0.5471080616824231	0.5031574988047817
BS_052PZFMK	0.482466785283029	0.8798515946578528	0.4664197756194724	0.37800393935366355	0.37039826956372135	0.4925358710134128
BS_063ERW0R	0.5410640530407972	0.49134197217070164	0.5406314803459097	0.47767800183732206	0.6785778318803473	0.4539432699568908
BS_06AMMCXR	0.5864093418727532	0.2705411613052586	0.5589116940440909	0.45845748670023884	0.6350643771454282	0.40856691250266675
BS_06XH7EVF	0.6508062905745455	0.2007856553380668	0.5119608328948158	0.41772563397761475	0.41946954116414076	0.5244110512807387
BS_07ANYSYQ	0.2867648994177953	0.5728649879214295	0.4826916925723602	0.3194678802564547	0.7836533015456673	0.5552152883219065
BS_09R7GDA7	0.5299793024655504	0.539060606595405	0.5569783341545115	0.4761494294965362	0.36439430525595684	0.4556853879852534
BS_09Z7TC35	0.48318515300388903	0.6943753239085368	0.43740221553179487	0.3419929006709088	0.5196550611798204	0.5691724890292656
BS_0AETXC7D	0.6051598838000137	0.9101350109239702	0.49287358579229534	0.40849427958964835	0.6497910328825243	0.35122372685960923
BS_0BXY0F9N	0.27478052941007874	0.6053199121083714	0.43813659301344376	0.5754749769678074	0.6109232513278064	0.6568692123604555
BS_0C00AYTE	0.35698669521673737	0.6123656517626445	0.4556025428759373	0.46265952513585773	0.49740011307889714	0.5515678013496524
BS_0C7VZC0A	0.4751302181356982	0.45499883288830745	0.6183150981416549	0.3292031521660254	0.5262706768513713	0.6378641715096016
BS_0D3SCV7P	0.6736159239578302	0.2549740031739196	0.4407963087698333	0.7940202323053035	0.5616447111760834	0.4887530558643289
BS_0GDJQANN	0.4483203006004244	0.34051498122159535	0.4464606844142503	0.3931343111086156	0.6202949009655148	0.5779127166942735
BS_0HW7W7SD	0.4829251752191496	0.43147444196816875	0.5506224230172212	0.3943487872634902	0.5325961938396486	0.5792649172537048
BS_0J9SHHSC	0.545713045820208	0.4348667900523218	0.5726285654579494	0.3893104755364471	0.49871583624833593	0.5854762881312925
BS_0JBZPAGN	0.5228896769879138	0.6575408650124644	0.46516895039024253	0.6660332700375586	0.3803229167779361	0.544328001255459
BS_0QYS36NR	0.46834598743777334	0.5243448718735861	0.543167221590229	0.5353940417186934	0.7247378004919687	0.5704023289631616
BS_0RF0EZTV	0.372870832820548	0.4407865195909582	0.5319639286716964	0.45878532618715334	0.6392732974213952	0.5247289239230143
BS_0RQ4P069	0.5561061170574674	0.31395899444676173	0.5744651724325182	0.4149773084048349	0.4458311703694383	0.5501990624526103
BS_0SC4QNTM	0.5874709803705453	0.4337519727810862	0.5038043063206622	0.6979405018441861	0.670127489341318	0.5166522190432916
BS_0SCXXM6N	0.5501366686551861	0.31842497387876884	0.5905962583046258	0.46620422551973645	0.44190215186834725	0.5824992401597174
BS_0SPCTBZY	0.5800313872098841	0.6119982741390262	0.5794186625908946	0.49959368290705414	0.6021575567157019	0.46471889849784664
BS_0T17SY47	0.35512423250486835	0.5282187340883158	0.45025679497341997	0.40599263220796533	0.45502378467996557	0.4076565010934192
BS_0VRSD9V3	0.3551588994693022	0.79846464569433	0.5851875769893574	0.5340250615276495	0.44499705523021105	0.36018760853397486
BS_0WQJP6ZG	0.4101278003066735	0.5713632382844407	0.4819758787169838	0.4051907754244308	0.32451308437034265	0.43940176005469206
BS_0WVJYM9R	0.29506718437705226	0.5470559241879519	0.47868670617214626	0.5584836593279807	0.5560523074919436	0.601325206332799
BS_0X9EGHY2	0.37360618729123796	0.547325513435361	0.5082989847031226	0.5643243295617588	0.4795775378562009	0.6416509386310375
BS_0XEG6SNV	0.4227539197269182	0.0860115907246237	0.4927291465213035	0.3626949910363189	0.620627474425266	0.2060696427766314
BS_0XHT9W4Q	0.3183065372301535	0.6573077681884959	0.4523017465243184	0.3374512765090545	0.6201090728380154	0.5378958169620857
BS_0Y1BP5A4	0.44269233396559354	0.5906863916925142	0.3887508598475361	0.48495944243523426	0.4703238770453009	0.4891118236529877
BS_0Y66ZBWE	0.5071922795575491	0.5778825300903478	0.515765175658844	0.5132034530857763	0.5806851291746397	0.4486228025717996
BS_1021ZGQT	0.5047905015708222	0.3634899898730452	0.3866549251416092	0.6645773558002294	0.5735601213293852	0.493706742696892
BS_10APZRVT	0.26500690535529253	0.20265254154696904	0.3909295545298627	0.4797340193724864	0.6807719459574222	0.5402301657646837
BS_10MQQC5C	0.5841126466657414	0.5217430206405541	0.4356677887574715	0.6524416335332471	0.5045897256628685	0.446645231442272
BS_11WY983P	0.49721312537003637	0.6102190609465447	0.43923304949804265	0.6273835802546	0.540080456075218	0.49918214502813396
BS_135GYQQD	0.48410717983582374	0.4552395103240883	0.5166515423078809	0.5100342937811423	0.660964484368262	0.5490720585763105
BS_13CGKADW	0.34231518700456665	0.4463229589532072	0.5283565747808268	0.5975724802110997	0.6219470449056688	0.4979435496844727
BS_15ED4VDX	0.5839184461674019	0.49761146135212997	0.5204027124358301	0.554484645013719	0.41557464230043867	0.49601974301810603
BS_15ETQ0E4	0.5654148444061802	0.4550079378224716	0.461118501361749	0.48755525516454573	0.5673697989555464	0.5439327430087684
BS_1607397Q	0.4389727386658253	0.44311295408977736	0.48748722814529816	0.5071528906739865	0.3409480077074669	0.6693851731649675
BS_17DY3DD0	0.5928845402868442	0.34436592032864555	0.48340603276397676	0.5167760421839566	0.367351431766249	0.5890552721035482
BS_17SAB1QN	0.4171557720044065	0.6690671294554535	0.3712076380139525	0.428359133741422	0.5511886534526985	0.3562242170437704
BS_17WYVEEC	0.6120773191000608	0.4672670908318146	0.5711743997494474	0.6356434622987865	0.5054549673048017	0.508563853502605
BS_196BBNEJ	0.2704693140052214	0.6405003772580489	0.4798237762793143	0.4946574653213156	0.5044720691098671	0.4228190075388236
BS_19PXZ71B	0.6807756897339815	0.5180771542082375	0.43280748847226036	0.5913278296975412	0.5464692296455228	0.4445840900467812
BS_1A6MQ9ZA	0.733820216119272	0.5042728318352838	0.6328795576422431	0.3550953845846031	0.5436106932104249	0.481694330899212
BS_1AYRM596	0.35455594202839436	0.6672217614461851	0.4013677376845264	0.4794546696333917	0.5630814716057114	0.3773023841217588
BS_1BJNPHMD	0.8226000241027884	0.039714407357948116	0.8422027684276577	0.5442941122548385	0.6536749761430124	0.4492135458744802
BS_1BKHK7AY	0.5371363316540232	0.4787381978638611	0.463340300632698	0.3116478185782289	0.6704725625231021	0.3352231515133214
BS_1BWP5MCT	0.446156993282132	0.4482087422635592	0.4512742604753844	0.6545352392780541	0.435572664445675	0.45185187191907444
BS_1D6PZNKN	0.6834317752204438	0.750628942284554	0.5080012637549811	0.5037923632462594	0.546118596968121	0.5309432961274319
BS_1D8BZC23	0.5172871917971921	0.5400709878344772	0.5936143366125236	0.5145344507620779	0.3362690636190939	0.5705353001172403
BS_1EBQ3T20	0.5642439350556732	0.4491406689484792	0.4904006721510847	0.301575716703662	0.567346206996094	0.3922372021030914
BS_1EN5V3XW	0.4910538137886967	0.7321117673332761	0.4291651448164721	0.8091311233884532	0.25049212929530723	0.6951506201847734
BS_1EPBB086	0.40510599452223517	0.3227835571461453	0.4472205227050773	0.6263864008999545	0.4040286012371809	0.5198972778474436
BS_1G3WYEN3	0.3969495136059688	0.37471991290108775	0.6227453900527566	0.44119569646708656	0.453108296586018	0.5757278727829653
BS_1HFK0SXV	0.5615136887556023	0.49158602459631834	0.5340047951036697	0.5117906273836705	0.4026756926902905	0.6196615292148899
BS_1HHS9AFK	0.35112066113681495	0.6317660505415945	0.4800865173604203	0.47541839796837476	0.6422550086340616	0.4515669199565241
BS_1HQ76V6D	0.45616001942981965	0.48951004103777335	0.4411490638259254	0.4389154719626577	0.3152667515301725	0.44714086926855057
BS_1J2WQ08M	0.47724553343846754	0.5285069546467202	0.4837878372354476	0.4309915489800541	0.3847566156179701	0.6218182062593738
BS_1JDG6JV5	0.5225430906587749	0.3784751983979142	0.6024423675156323	0.5265477001935098	0.2805575094163105	0.4654701517758869
BS_1KWNKPFZ	0.8371893764133921	0.09567562491367958	0.6183098831322885	0.4822052109580465	0.45327371137896677	0.45471144016873166
BS_1KYGSMA7	0.41099367180325097	0.42447572029581826	0.5267949755437491	0.5210174034688567	0.5382064997913033	0.4436322646352347
BS_1N9XZXGE	0.5040968283422173	0.32336086039980994	0.2466841806011042	0.5329770918779396	0.5222636915008302	0.4872494393453899
BS_1NPD7PVG	0.5425672317417196	0.12598448208318527	0.7049915057644057	0.6015706053798078	0.5244591594145714	0.6824500027863244
BS_1QNTEZPS	0.6976260411891613	0.32151148517531314	0.4456124470443328	0.38595552433355484	0.39863566515499177	0.5164302144622707
BS_1QXEC43H	0.4802062961760887	0.6777241331722275	0.472625833749637	0.3652683181290989	0.5482977796432233	0.6069638913455887
BS_1RT76ANT	0.5231092977468168	0.6866123040630471	0.5846222672011463	0.44443933182808987	0.6912004580781875	0.49278391813301764
BS_1RXZ3BP7	0.5299536169905764	0.3484787250564323	0.5706924522185246	0.6078629429256253	0.48599581470003583	0.46013845190150415
BS_1SVVER1H	0.35014143240583745	0.25069980341544373	0.6051516532680383	0.44789432048346883	0.516317710781917	0.4398766750010527
BS_1T19NFJ8	0.3519057960194994	0.5956159896872766	0.4794769886523872	0.31759209238091185	0.5134208309615342	0.3936510911660196
BS_1TPWFSK6	0.3133559735040773	0.2580584167132036	0.6267624795398142	0.4707345199839679	0.46133449923053627	0.4829133107884275
BS_1TQFKXNB	0.28432591018815795	0.3705356201680316	0.4592547768560056	0.24027899970941957	0.38101633456468587	0.6025689846712574
BS_1TWCV047	0.4325846006670251	0.6402906405498876	0.4371531789557188	0.5190538021265723	0.5461835637865966	0.5445408333505075
